topic,question,answer
ars legendī bona est homini.,What case is *legendi*?,genitive
ars legendī bona est homini.,What noun does *legendi* describe?,ars
ars legendī bona est homini.,What case is *homini*?,dative
occasio ei regni recuperandi data est,Please give gender, case and number of *recuperandi*.,neuter genitive singular
occasio ei regni recuperandi data est,What is the verb of this sentence?,data est
occasio ei regni recuperandi data est,What is the subject of this sentence?,occasio
occasio ei regni recuperandi data est,Identify the case and number of *ei*.,dative singular
occasio ei regni recuperandi data est,What case is *regni*?,genitive
occasio ei regni recuperandi data est,What noun does *regni* describe?,occasio
occasio ei regni recuperandi data est,What noun does *recuperandi* agree with?,regni
sorores eius praeter Gorgen et Deianiram flendo deorum uoluntate in aues sunt factae,What is the verb of the sentence?,sunt factae
sorores eius praeter Gorgen et Deianiram flendo deorum uoluntate in aues sunt factae,What is the subject of the sentence?,sorores
sorores eius praeter Gorgen et Deianiram flendo deorum uoluntate in aues sunt factae,What is the case and number of *eius*?,genitive singular
sorores eius praeter Gorgen et Deianiram flendo deorum uoluntate in aues sunt factae,What case is *flendo*?,ablative
sorores eius praeter Gorgen et Deianiram flendo deorum uoluntate in aues sunt factae,What case is *uoluntate*?,ablative
sorores eius praeter Gorgen et Deianiram flendo deorum uoluntate in aues sunt factae,What case is *deorum*?,genitive
sorores eius praeter Gorgen et Deianiram flendo deorum uoluntate in aues sunt factae,What noun does *deorum* describe?,uoluntate
Hercules Antaeum occidit.  hic cogebat hospites secum luctari,What is the verb of the sentence?,cogebat
Hercules Antaeum occidit.  hic cogebat hospites secum luctari,What tense and voice is *lucatari*?,present passive
Hercules Antaeum occidit.  hic cogebat hospites secum luctari,What person/number/tense/mood and voice is *cogebat*?,third singular imperfect indicative active
Hercules Antaeum occidit.  hic cogebat hospites secum luctari,What gender/case and number is *hic*?,masculine nominative singular
Hercules Antaeum occidit.  hunc luctando Hercules necauit.,
